CountryCode,Country,Year,Bacteria,Resistance_target,Resistance_pct,Community_J01_DDD_per_1000,Hospital_J01_DDD_per_1000,Total_J01_DDD_per_1000
BG,Bulgaria,2014,Staphylococcus aureus,Meticillin (MRSA),20.83333333,18.3941,1.2327000000000001,19.626800000000003
BG,Bulgaria,2015,Escherichia coli,Third-generation cephalosporins,38.53658536,18.6164,1.2156,19.831999999999997
BG,Bulgaria,2015,Klebsiella pneumoniae,Third-generation cephalosporins,75.0,18.6164,1.2156,19.831999999999997
BG,Bulgaria,2015,Staphylococcus aureus,Meticillin (MRSA),13.06306306,18.6164,1.2156,19.831999999999997
BG,Bulgaria,2016,Escherichia coli,Third-generation cephalosporins,41.59663865,17.4918,1.4702,18.962
BG,Bulgaria,2016,Klebsiella pneumoniae,Third-generation cephalosporins,72.5,17.4918,1.4702,18.962
BG,Bulgaria,2016,Staphylococcus aureus,Meticillin (MRSA),14.28571428,17.4918,1.4702,18.962
BG,Bulgaria,2017,Escherichia coli,Third-generation cephalosporins,41.29554655,18.7706,1.4149999999999998,20.1856
BG,Bulgaria,2017,Klebsiella pneumoniae,Third-generation cephalosporins,76.33136094,18.7706,1.4149999999999998,20.1856
BG,Bulgaria,2017,Staphylococcus aureus,Meticillin (MRSA),13.65638766,18.7706,1.4149999999999998,20.1856
BG,Bulgaria,2018,Escherichia coli,Third-generation cephalosporins,38.69863013,19.3383,1.5028000000000001,20.8411
BG,Bulgaria,2018,Klebsiella pneumoniae,Third-generation cephalosporins,77.72020725,19.3383,1.5028000000000001,20.8411
BG,Bulgaria,2018,Staphylococcus aureus,Meticillin (MRSA),17.57188498,19.3383,1.5028000000000001,20.8411
BG,Bulgaria,2019,Escherichia coli,Third-generation cephalosporins,38.63636363,18.884,1.5206999999999997,20.4047
BG,Bulgaria,2019,Klebsiella pneumoniae,Third-generation cephalosporins,75.65543071,18.884,1.5206999999999997,20.4047
BG,Bulgaria,2019,Staphylococcus aureus,Meticillin (MRSA),14.81481481,18.884,1.5206999999999997,20.4047
BG,Bulgaria,2020,Escherichia coli,Third-generation cephalosporins,41.37931034,20.576,1.8571,22.4331
BG,Bulgaria,2020,Klebsiella pneumoniae,Third-generation cephalosporins,79.11646586,20.576,1.8571,22.4331
BG,Bulgaria,2020,Staphylococcus aureus,Meticillin (MRSA),11.81818181,20.576,1.8571,22.4331
BG,Bulgaria,2021,Escherichia coli,Third-generation cephalosporins,37.26235741,22.002399999999998,1.9621,23.964499999999997
BG,Bulgaria,2021,Klebsiella pneumoniae,Third-generation cephalosporins,81.40495867,22.002399999999998,1.9621,23.964499999999997
BG,Bulgaria,2021,Staphylococcus aureus,Meticillin (MRSA),15.16587677,22.002399999999998,1.9621,23.964499999999997
BG,Bulgaria,2022,Escherichia coli,Third-generation cephalosporins,40.16736401,23.825100000000003,1.3997,25.224800000000002
BG,Bulgaria,2022,Klebsiella pneumoniae,Third-generation cephalosporins,78.46153846,23.825100000000003,1.3997,25.224800000000002
BG,Bulgaria,2022,Staphylococcus aureus,Meticillin (MRSA),12.01716738,23.825100000000003,1.3997,25.224800000000002
HR,Croatia,2013,Escherichia coli,Third-generation cephalosporins,8.75,17.6101,1.4816999999999998,19.0918
HR,Croatia,2013,Klebsiella pneumoniae,Third-generation cephalosporins,50.0,17.6101,1.4816999999999998,19.0918
HR,Croatia,2013,Staphylococcus aureus,Meticillin (MRSA),24.03846153,17.6101,1.4816999999999998,19.0918
HR,Croatia,2014,Escherichia coli,Third-generation cephalosporins,10.84337349,17.7254,1.5521,19.2775
HR,Croatia,2014,Klebsiella pneumoniae,Third-generation cephalosporins,47.90419161,17.7254,1.5521,19.2775
HR,Croatia,2014,Staphylococcus aureus,Meticillin (MRSA),21.28099173,17.7254,1.5521,19.2775
HR,Croatia,2015,Escherichia coli,Third-generation cephalosporins,12.52390057,18.0289,1.5998,19.628700000000002
HR,Croatia,2015,Klebsiella pneumoniae,Third-generation cephalosporins,46.84210526,18.0289,1.5998,19.628700000000002
HR,Croatia,2015,Staphylococcus aureus,Meticillin (MRSA),24.4855967,18.0289,1.5998,19.628700000000002
HR,Croatia,2016,Escherichia coli,Third-generation cephalosporins,14.7368421,17.0636,1.5563000000000002,18.6199
HR,Croatia,2016,Klebsiella pneumoniae,Third-generation cephalosporins,48.59813084,17.0636,1.5563000000000002,18.6199
